,sentences,sentences
88,"

??????? ????? ????, ??????? ?????? ???? ??????? ??????? ??, ?????? ????????? ???? ??? ??????? ?????? ???? ?????? ???? ??????? ?????? ???????????? ??? ???? ?? ???????? ??? ??? ????? ????? ???? ????? ????? ???? ?????? ?? ???? ??????? ???????.", Non?ka dar?an oktere uni do? mit? gha?r?i la?git? ho?? Mini sa?o do?ye n?epel torak?gea.
89,"

???? ??? ??????????? ??????? ??????? ???????? ???? ??????, ??? ????? ????????????, ? ????????????? ?????? ?????? ????? ???? ?? ???? ????? ????? ????.", Sa?rigem n?ellekhan unkin talare mit?t?en cet? reak? tonol comorom n?amgea.
90," 

?????? ??? ????????? ????? ??????????? ???????? ????? ????.", Setak? Rohmot bae hijuk? khan a?yup? kote doe hijuk?gea.
91," ????? ??????? ?? ???? ??? ??, ?????? ???? ???????? ??????? ??????? ?????? ???? ????? ??.", N?inda? okte jhalan? jhulun? an?grop horok?akat? onkan usul ho?r? or?ak?rem n?aman khan kha?t?ige bin bo?to?rte do? bam ta?hedareak?a.
92," ???? ???????? ?????? ???????? ????, ???? ??????????? ???? ?
  ???? ??????? ????, ??????? ??????."," Menkhan Mini do? Kabuliwala, e Kabuliwala ho?ho?e tuluc? landa landate Rohmot t?hene n?ir hijuk?a."
93,"

????? ??????? ????? ???????? ??? ??, ??? ??? ???????? ????, ??????? ???????, ?????? ?? ????? ??? ?????.", Mit?t?en har?am ho?r? ar mit?t?en hud?in? hud?in? kur?igidra?wak? ro?r? landam an?jom lekhan sanam mone jiwi rar?ec? godok? tama.
94,"

???????? ???? ??? ?????? ????? ???? ?????? ???????? ???.", Mit? din setak? bela in?ak? hopon or?ak?re dur?upkate o?l korenak? bhulkon? n?eljuteda.
95,"

????? ??? ???????? ??????? ?????.", Bida?y hatao mar?an? din khonge barpe maha do? a?d?i a?t? raban? a?ika?uk? kana.
96," ???? ??? ??? ?????? ??????????-??? ????? ????? ????? ????? ?? ??? ???????? ??? ???? ??????? ????????? ????? ????????????? ????? ?? ???? ?????? ???????? ???????, ???? ?????? ???? ???? ??? ??.", Disa?m renak? ca?ria?kond? rege ja?nic? raban? renak? landa an?jomok?kana.
97,"

??, ??????????? ????? ???? ?? ??????? ???????? ???? ????? ?????? ??????? ????? ???.", Magh bon?ga setak? rena lawer seton? janala tap?kate in?ak? jan?ga cetanre par?ao akana; ar ona urgum lawer seton? a?d?i mon?jge a?ika?uk? kan tahe?kana.
98, ?? ?????????? ????? ?????? ??????? ??????? ????? ?????? ??? ?????? ???? ???? ?????? ????., Undo ja?nic? eyae baja hoe botejok?a.
99, ??? ????? ?? ????? ???? ??????? ????? ????? ??? ???? ???????? ???? ???? ?????? ??? ?????? ?????., Setak?ren ce?r?e? cirput? akaoak? setak? dar?an khon a?yup? mar?an?re or?ak?sec? hijuk?ko mohnd?a akan.
100," ???-??, ??? ????? ????? ??????? ???? ?????? ?? ?????? ?????? ???? ??.", Onkan oktere mit?t?en maran? uta?r awaj sad?eyena.
101, ??? ?? ????? ???? ???????? ???? ????????., N?elkida?n? barea darwan kabuliwala tolkatekin a?guyede kana.
102,"

?? ???? ??????? ???.", Kabuliwala tayomte mit? do?n?go?l gidra? a?d?i ra?ska?k? tuluc?ko a?yur akana.
103, ??-???? ?????? ????????., Kabuliwalawak? kicric?re mayam reak? cinha? ar dar?anak? chora do mayam cinha? ar darwanak? chora do? mayamte jodbodao caba akana.
104, ???? ????? ??????? ??????? ????? ???????.," Or?ak? khon od?oktora darwanin? kuliket?kina?, Cet? bepar ya? Kuli kate sanam kathan? buj keda."
105, ????? ????? ????? ????? ????? ????., Ban?ma atoren har?am Rampuria cadorte Kabuliwala t?hen dharwa dapale rika? leda.
106, ???????????? ????? ????? ???? ???? ????????? ??????? ??????? ?????? ??????? ?????? ?????., Un jokhen kabuliwala do? uni har?amak? d?hobo lac?re churiye sobok? sa?bao leda ar a?d?i a?t?e egerleda.
107,"

???????? ??? ?????? ????? ???? ???????.", Onkako tola?guakade oktere Mini do? e Kabuliwala e e Kabuliwala ho?ho? ho?ho?te or?ak? khone od?ok? hec?ena.
108, ?????? ??? ?? ????? ??????? ????? ??? ????????-????? ?????? ????? ??? ?? ????????., Miniak? ona laoar napae hohote e Kabuliwalawak? sanam monejiwi do? mit? gha?r?ite ra?ska?te perec? sarer?entaea.
109," ???-??, ???????? ???? ??????? ?????????? ?????????? ???????? ?????????? ????? ?? ??????? ??? ???? ????? ?????? ??????? ????????.", Menkhan Mini do?e n?elkeda Rohmatak? tarenre nindara leka tha?ila?k? do? ba?nuk?a.
110,"
???? ??? ?? ?????? ??? ???? ?? ???? ????? ????????."," Onatege ja?nic? a?kinak? nindara reak?  ro?r? landa deya kate ekene kulikedea, Ontegen? calak? kana."
111, ?? ????? ??? ???? ????? ??????? ?????? ???? ???? ???????? ???????? ??????? ???????., Uni ja?nic?e bujha?ukeda ona kathae Mini bae ra?ska?lena.
112, ???? ????? ???????? ???? ????? ?????????????? ????? ??????? ???? ????? ??????????? ??????? ?????? ??????.," Khan ti uduk? katey menkeda, Hon?harin? har?amin? dal kea, menkhan ti ko tol akat?tin?a?."
113, ?? ???? ????? ?????.,"
A?d?i maran? ghat? guna?k?te Rohmotak? pe pon serma jehel hoyentaea."
114,"

???? ???? ???? ??????, ??????? ???????.", Unkhonge uni dole hir?in? sa?n?gin? kedea.
115, ????? ???? ???????? ??? ?????? ?????? ; ?????? ??? ??? ??? ?????????? ??? ???????? ??? ??? ???? ??????? ; ????????? ???? ???., Numin maran? dha?rtire noa or?ak? son?sar reak? sanam ka?mi sa?tkate duk-sukte dinle khemaoet? ta?hekana.
116,"

??? ???? ??????? ??? ?????? ????? ????????, ??? ???? ???? ?????? ????? ?????? ????????."," Enreho? mit?t?en sa?dhin ho?r? ac?ak? sa?dhinota at?kate cet? lekate jehel khana reak? khan?ca bhitrire tahe?kate dine khemaoeda, noa kathakorenak? mit?t?en katha ho?? aleak? monredo mit? bela se tara bela ho? ban? upelok?kan tahe?kana."
117,"

??? ?????? ?????? ?????? ??????? ??.", Ar note bhor hara kur?i Miniac? ba?r?ic? ka?mikote ac? baba ho?? lajaote tepet? akana.
118," ????? ?? ???? ???, ????? ?? ????? ??? ???, ????? ????? ??????? ??? ?? ??? ???.", Ar Miniak? jua?ni do? lolo mone jiwi renak? rumujte tepet? akana.
119, ?????? ????? ???? ??????? ?????? ???????., Ar uniak? jua?ni lolo mone renak? ro?r? landa ko ho?? ho?r? ko talare do? lajao par?a reak? katha kana.
120,"

??????, ?? ?? ????, ??? ?????.", Tehen? do? ac? baba ho?? noa katha ko er?e kathate dapal dar?eak? kana.
121,"

?? ????, ??? ??????????? ??? ???? ????? ????????."," Mini Rohmotak? seday sohag dula?r?, ro?r? landakoe hir?in? sa?n?gin? keda."
122,"

????? ??????? ???? ???? ???? ?????? ????.", Netar do? nawa nawa gate ko sa?o uniak? mone jiwi do? topol akantaea.
123," ???? ?????? ???? ????????? ???? ???, ????? ??????? ????? ???????? ??? ??????? ????? ???.", Gate koak? monere ac?ak? mone jiwi d?han? akantaete Mini do? mit? bela ho?? or?ak?re do? bam n?amea.
124," ???? ????? ????? ?????, ?????? ?? ??????? ? ????? ???? ???? ????? ???? ???.", Jiwia?n reak? dhoromte uni doe ceka cabaen co.
125,"

??? ?????? ??????, ?? ?????? ??????? ???? ??? ???, ??? ???? ?????? ???, ???? ?? ???.", Ona ia?te in? ho?? Mini sa?o katha ro?r? don? a?r?i akada.
126,"

????? ???????? ?? ???????? ?????? ????? ????? ???, ?????? ????? ???? ????? ???? ?????? ?????? ????, ??????? ????? ?????? ???? ???

????? ??? ???? ??????? ???, ???? ??? ????? ???.", Tina?k? sermaco paromkate mit?t?en da?sa?e bon?ga set?erena.
127," ?? ??? ??? ?????????, ???? ???? ??? ??????? ??? ?????????????, ? ????????????? ?????? ??????? ?????, ??????? ??? ??????? ???????? ?????? ??????????? ?????? ???????? ???? ??.", In?ren Miniak? bapla got?a akana.
128," ???-??, ????????????? ????? ?????? ?? ??????? ???? ??? ?????? ?????? ??????? ?????? ????? ??? ??? ???? ????????? ?????? ???? ???? ???????-????????? ?????? ?????? ??????????????? ?? ????? ?????? ?? ??? ??.", Nia? da?sa?e bon?ga talarege uniak? bapla do? hoyok?a.
129,"

??? ??????, ?? ??????? ??? ???, ?? ?? ?????? ???? ???? ???? ?????? ??.", T?ha?kr?a?n era lekage in?ren Mini ho?? ayo baba or?ak? dua?r n?uta?t?re ba?gi kate ja?wa?e or?ak?e calak?a.
130,"

?? ??? ???? ??????? ???.", Asar? san casa bad din paromena; da?sa?e bon?ga set?erena.
131," ?????????? ?????????? ????? ????? ???????? ???? ????? ???? ?????, ??? ??? ????? ?????? ?????? ??????? ????? ????? ???.", Asar? san reak? dak?te a?rup? pharca akan da?sa?e bon?ga do? seton?lere sona lekage n?elok? kana.
132,"

???? ??? ???? ???? ????? ??? ???.", Kolkata renak? ropor? sopor? or?ak? cetanre da?sa?e bon?ga reak? rup jhal jhalaok? kana.
133," ??? ??????? ?????? ??????? ?????, ??? ????? ???? ?? ???? ??????? ???????.", Tehen? do? in?ak? or?ak?re tala n?inda? khon tumdak? t?amak reak? sad?e do? ja?nic? ban? kana menkhan in?ak? pan?jra jan? reak? rak?ge.
134,"

???? ?????? ????, ?? ???? ??? ??????? ???????? ????? ?????? ???? ???????????, ?????? ?????.", Tumdak? t?amak renak? daya rak?te ja?nic? ba?gi ot?o mone jiwi renak? sanam rak? ko do? d?sa?e bon?ga renak? seton?te got?a dha?rti cetanre sap? doho akana.
135,"
 ??? ?????? ????? ??? ???? ????? ???? ?? ???? ???? ??? ??????? ???? ; ????, ????? ???? ????, ???? ?????? ????? ?????? ????? ????? ????? ??.", Tehen? do? Miniak? bapla.
136," ????, ????? ???? ???? ????? ???, ????? ???? ????? ???? ????? ???.", Setak? khonge bapla or?ak?re bhir? do? lagaoena.
137," ??? ?????? ??????? ????? ?????? ????? ?????? ???? ???? ???? ?????? ???? ????? ???, ??? ?? ???? ????? ??? ??.", Chat?kare chamd?ako benaoeda.
138,"

?? ?????? ?? ????? ???? ???? ??????? ???? ??? ???????? ????? ????? ???? ???? ???? ??-????? ????? ???? ????? ????.", Or?ak?re ho?? dua?r calre ar kulhi kore ul d?harwa?k?ko akayeda.
139, ??? ?????? ???? ??????? ??? ????? ???? ??????? ??? ??????? ????.,Bapla or?ak?re ka?ura?ua? galmarao renak? muca?t?ge ba?nuk?a.
140,"

???????, ?????? ??? ???? ???? ????? ???.", Olok? or?ak?re dur?up?kate hisa?b jokhan? n?eleda.
141," ????????? ???, ????? ??? ???, ???? ??????? ???? ???????? ?????? ???? ????? ????? ?????? ???????.", Onkan oktere  Kabuliwala hec?tora johar kate in? saman?rey ten?goyena.
142, ?????? ?? ?????????????? ????? ???? ????? ???? ????? ???? ???????? ???????? ?????? ?????? ??????? ??? ?????? ??????? ????????????? ?????????? ????? ????? ????? ?????? ????? ?????????? ?????? ????., Pa?hilre do? ba?n? orom dar?eadea.
143,"

??????? ???? ??? ???????? ?????? ????.", Terenre tha?ila?k? ba?nuk?taea ar sedae leka monere ra?ska? ho?? ba?nuk?taea ar sedae leka monere ra?ska? ba?nuk?taea.
144," ??? ?? ?? ???? ?????? ???????????? ?? ??? ?? ???? ?????? ????????????????, ???? ??????? ????????? ?????? ??????? ??? ?? ???? ??, ??? ???? ???? ????.", Tayo?mte ac?ak? landaren? t?hauka? kedea.
145, ????? ?????????????? ??????? ???????? ??? ????????? ????? ?????? ????? ??????? ???.," Kulikedea?n?, Rohmot, tisem set?erakana? Rohomote la?i rua?r? a?din?a?, Hola a?iyup?bela jehel khon khalas n?am katen? hec? akana."
146, ??? ???????? ??????? ????? ???? ???????? ????????., Noa katha an?jom toran? comkao got?ena.
147, ????????? ????? ???? ?????? ?????????., Nundin tis ho?? ho?r? go?go?c? ho?r? do? ba?n? n?el akawan tahe?kana.
148, ?????? ??? ?????? ??????? ?????? ??., Nui ho?r? n?el tora in?ak? sanam mone jiwi do? gu?r?ia?u got?ena.
149, ????????-??? ?????-?????-???? ????????? ???? ????????? ???? ???? ?????? ????????.," Mone hoyena, nui ho?r? noa sa?gun ka?mi or?ak? khone calaolen khange bogea."
150,"

?????? ??????? ???????????? ??????? ???? ?????? ???, ??????? ?????? ???? ?????? ????? ??."," In?in? metadea, Tehen? do? ale or?ak?re mit?t?en ka?mi menak?a; a?d?i a?t? ka?mire besto mena?n?a."
151," ?????? ??????? ????, ????, ???? ????????? ??????

???? ??? ???????????? ???? ????, ??? ?? ?? ??????? ??? ????? ???? ????? ??- ?????? ?????? ??????? ??????? ????? ????? ??? ???????? ????????.", Dayakate tehen? do? senok? me do.
152," ????????????? ???? ????? ?? ??? ????? ??????? ????????, ???? ??? ????? ??? ??? ?????."," 
Noa katha an?jom kate uni do? calak? la?git?e a?t?u-pa?t?uena."
153, ???? ???? ?????? ????? ????.," Tayomte dua?r t?hen senkate hante nhate da?r?a?kateye menkeda, Ma?iki mit? dhao ho?? ba?n? n?el n?amea? 
Uniak? monere biswa?s tahe?kana je Mini do? pa?hil lekage heyana mente."
154,"

???? ?????? ???? ???? ???? ???????????? ??????? ???? ?????? ?????? ?????."," Uniak? mone menet? tahe?kana ac? kathae Mini do? pa?hil lekate ?e Kabuliwala, e e Kabuliwala? hoho kateye n?it hijuk?a, a?kinak? en sedae lekage calak?a."
155," ?? ???? ?????? ?????? ?????, ????? ???????? ???????? ????? ???? ???????, ????? ?????? ???? ???? ???? ????? ????? ?????? ??? ??????? ??? ?????? ?? ????? ??.", Nuna?k? ha?bic?.
156, ? ?? ????? ????? ?? ??????? ??? ?? ?? ????.," je sedae dula?r? uiha?r kate uni ( Kabuliwala) do? mit?bar a?n?gur, arho? pot?om sakamre mur?au kate thor?agan kismis badam, ac? kathae et?ak? apnar disa?m reak? apnar gate t?hen khon Mini uiha?r kate koe jarwa  katey a?guyet? tahe?kana."
157," ?????????? ????? ??????? ??????????? ????? ????? ?????? ?????, ???? ???????? ?? ???? ????? ?????? ????????????? ?? ?????????? ????? ?????? ?????.", Ac?ak? undo hana tha?ila?k? ban? tahe?kantaea.
158,"
??? ?????? ??? ????? ?????? ?????.","
In?in? metadea, Tehen? do? or?ak?re a?d?i a?t? ka?mi henak?a."
159," ??????, ????, ???? ???? ????? ?????? ???? ??????? ???; ??????? ???????? ???? ????? ?????? ???.", Tehen? do? o?ko?e sa?o ho? ohom n?apam dar?elena.
,  ?? ?????? ??? ?????? ????? ???? ????-???????? ????-???? ???? ???????? ???? ???., In?ak? ona katha an?jomkate uni do? mit? gha?r?iye bejarena.
," ???? ??? ??????????? ???? ?????? ????????? ??? ????????? ??????? ??, ????? ?????? ???? ??, ????????? ??????? ??????? ??????? ?????? ????? ???????, ?????? ?????-????? ???? ??? ???? ??????? ????? ????.", Ten?go thirkate sojhete mit? dom in?ak? mocasene ben?get? keda.
,., Khan Ba?bu Salam menkateye od?ok calaoena.
,,pharakte.
,," 
Undo in?ak? monre cet? lekaco ka?t?ic? ka?his in? at?kar keda."
,, Kha?nik in? monegot? keda ho?ho? rua?r?ia?in?.
,," N?elkida?in?, mit? gha?r?i tayo?m ac?tege arho??e rua?r? hijuk?kan."
,," Sorre hec?katey menkeda, Noa a?n?gur a?rho? ka?t?ic? culun? kismis badam ma?i la?git? in? a?gulet? tahe?kana, uni emae me."
,," In? onako renak? gonon? emok? in? men lenkhan uni do? hare phare in?ak? tiye sap?keda, Amak? a?d?i daya."
,, In? do? jaejug disa?re tahentin?a?.
,, In? do? poesa alom imain?a.
,," Ba?bu amren je leka kur?i gidra? henaytama, onka lekage in?ren ho? hopon era la?git? disa?m khon thor?a meoan? a?gudaraya."
,," (Meoaphol:Kabul disa?m khon a?guak? jo? ko metak? kana meoa, jemon badam, pesta, bedana ar onkan joko)."
,, In? do? a?krin? la?git? do? ba?in? hijuk?a.
,, Onka menkate ac?ak? maran? d?hila? dot bhitrite ti idikate kor?am khon oka khon co mit? kha?d?re ma?ila? pot?om sakame od?okkeda.
,, A?d?i jotonte la?t?um bhu?r?i kate banar tite in?ak? t?ebil cetanrey dohokeda.
,," 
N?el kida?in? kagoc? cetanre mit?t?en hopon ti renak? chap."
,," Kemerate rakap? akat? chap ho?? ban?, sunumte rakap? chap ho?? ban?, tire ka?t?ic? jhol ojok? katet? kagoc cetanre ona? renak? cinha? rakap? hoe akana; hopon eratak? dinisa? cinha?ge kor?amre do?ho? kate Rohmot jao sermage Kolkata reak? ho?rte jo? a?khrin?e hijuk?a."
,, Ja?nic? uni napa t?hik hopon hopon gidra? tite jo?t?et? te do? ac?ak? a?d?i dukha?li monere ra?ska?i dohoya.
,," 
Ona n?elkate in?ak? ho? met?dak? hec?ena."
,," Unjokhen, uni jei Kabul disa?mren jo? a?k?a?krin?ic?kan ar in? jen? deko se?r?a ja?tren kan ona do?n? hir?in? keda."
,," Arin? hudiskeda, uni jemon, in? ho?? onkage."
,,"  Uni ho?? apat, in? ho?? apat."
,, Buru disa?mrey tahen ka?nic? uniren hopon era Parbatiak? ona ti cinha?te Miniak? uiha?re n?am oco kidin?a.
,, A?d?i logonge uni hohowae la?git? or?ak? bhitriten? kolket?koa.
,," Or?ak?re onate a?d?i apottiko rakap?leda, menkhan ba?n? luturat? takoa."
,," Arak? sa?r?ite bande akan, molon?re condon reak? t?ika?k? lagaokate ba?hui sajao akan Mini do? lajaote in? sorre hec?entey ten?goyena."
,," 
Uni n?elkate Kabuliwala do? pa?hilre rak? rak? te met?a?ha?yenae; a?kinak? pa?hil kathako ban?kin jo?mo?k? dar?eada."
,," Ina? tayo?mte landa katet?e menkeda, Ma?i, am do? ho?n?har or?ak?em clak?a? 
Netar do? ja?nic? Mini ho?n?har or?ak? renak? mane do?ye bujha?u akat?a, ar onatege ja?nic? nindara leka do? bae tela rua?r? dar?eada."
,," 
Mini oka hila?k? ac?ak? na?iha?rteye calak?a en hila?k? ho?? calak? lahare Rohmot do? dua?r t?hen hec?kateye menkeda, Ma?i do? mit? dhao ho?? ar ba?n? n?el niamea?
Uni do?e hudislet?a Mini do? ja?nic? sedae lekage menaya."
,," Ar ho??e hudisleda ja?nic? sedae leka uni do? Kabuliwala, e kabuliwala ho?ho? ho?ho?tey n?ir hijuk?a."
,, A?kinak? ro?r? landa ja?nic? n?it dha?bic? ho?? jiwet?ge menak?a.
,, Ona ia?teRohmot do? Mini la?git? mit? baksa a?n?gur ar kismis badam kagocre pot?omkatey a?guakada.
,, Menkhan ac?ak? mone cek?rec?ak? sedae reak? ona tha?ila?k? do? ja?nic? jehelkhanaregeko rec? do?ho? akadea.
,, La?iadean? Or?ak?re ka?mi menak?a; tehen? do? or?ak?ren okoe sa?oge n??e?pel do? ban? hoyok?tama; Ona katha an?jomtora uniak? mone renak? ra?ska? do? ra?put? n?urena.
,, Rohmot do? ro?ho?r? dareleka ten?go kate in?sen ben?ge?t? kate Johar ba?bu nia? katha ro?r?tora chat?ka khon dayageye od?ok calaoena.
,, In?ak? mone ba?n? bodhao dar?eada.
,, Mone hoyok? kana hoho rua?r? a?guyeyan?.
,, Onkan okteren? n?el keda Rohmot do? ac?tegey rua?r? hijuk? kana.
,," In? t?hen hec? kateye menkeda, Nia? mit? baksa a?n?gur ar ka?t?ic? kismis badam ma?i la?git? in? a?guleda, noa do? Mini emaeme."
,," Un okte ona renak? gonon? in? calae kan ta?hekanre uni do? in?ak? ti sap?kateye menket?a, Amak? daya do? jonom jonom ba?n?-hir?in?a."
,, Poesa do? alom ima?n?a.
,," Ba?bu, amren Mini leka in?ren ho?? disa?mre mit?t?en hoponera menaetin?a?."
,, Uniak? met?aha? uiha?r katege in? do? Mini la?git? ka?t?ic? jomak? n?uiak? in? a?guyet? tahe?kana.
,, In? do? amak? or?ak?re bebosa la?git? do? ba?n? hijuk?kan tahe?kana.
,, Nia?ko katha menkate uni do? ac?ak? o?r?ec? d?hila?n? d?holon? an?gro?p bhitrite tiye bhoraokt?te kor?am reak? okat?hen khoncon? mit? kecak? ma?ila? kagoc od?oket?tey ten?goena.
,, Kabuliwala sa?o oka hilok? Miniak? pa?hil n?epel hoylena ona n?elkate un hila?k? reak? kathan? disa?keda.
,," 
Monere oka leka co? suke a?ika?u keda."
,, Miniye calaoen khange Rohmot do? mit? dhao a?d?i a?t? sa?het?ket?te o?treye dur?up napor?ena.
,," Unreye hudis ket?a, ja?nic? ac?ren hopon era logon non?kagey hara akana."
,," Unreye hudis ket?a, ja?nic? ac?ren ho?po?n era logon no?n?kagey hara akana."
,," Uni sa?ote ho?? ho?? dosra galmara hoyok?a, uni do? sedae leka ba?n? n?el n?amea."
,, Noa ira?l sermate uni cet? lekae palt?ao akana onage ban? okoe bad?ae.
,," Bhador da?sa?e setak? bela alha sa?ote tiria? sad?e kana, nhate Kolkata renak? mit? gujli bhitrire dur?up?kate Rohmot do? Aphganistan reak? mit? dhu?dhu?kar buru ac?ak? mon met?teye n?el n?amet? tahe?kana."
,," 
Mit?t?en t?akan? emadea arin? metadea Rohmot, do? amren hopon era t?hen disa?mte rua?r? calak?me."
,, Abenak? n?apamo?k? renak? sukte in?ren Miniak? suk ho?? hoe ocoan.
,," 
Noa t?akan? emket?te bapla renak? hisa?b jokha khon mit? bar got?en la?gti jinis bad gik?di hoyena."
,," Cet? lekan? mone leda onka bijli ba?t?i ba?n? jo?l dar?eada, ar ban? hec?lena gor? renak? tumdak? t?amak."
,, Bhitri or?ak?ren kur?i hoponko a?d?ige dukko at?kar keda.
,, Enreho? sa?gun renak? alhate sa?gun ka?mi susa?r sa?riyena.
,,"            

."
